
Scoring long reads

  254 reads (486,969 bp)
  487 reads (971,087 bp)
  732 reads (1,457,895 bp)
  960 reads (1,944,155 bp)
  1,170 reads (2,428,977 bp)
  1,344 reads (2,913,920 bp)
  43,504 reads (124,923,242 bp)
  43,667 reads (125,414,944 bp)
  43,827 reads (125,898,566 bp)
  43,995 reads (126,390,315 bp)
  44,169 reads (126,874,140 bp)
  44,341 reads (127,360,063 bp)
  44,522 reads (127,845,632 bp)
  44,723 reads (128,331,859 bp)
  44,881 reads (128,818,063 bp)
  45,069 reads (129,307,813 bp)
  45,238 reads (129,791,478 bp)
  45,417 reads (130,279,614 bp)
  45,590 reads (130,764,593 bp)
  45,753 reads (131,249,163 bp)
  45,932 reads (131,744,692 bp)
  46,087 reads (132,231,479 bp)
  46,264 reads (132,718,689 bp)
  46,451 reads (133,204,438 bp)
  46,626 reads (133,688,412 bp)
  46,803 reads (134,174,895 bp)
  46,971 reads (134,661,557 bp)
  47,159 reads (135,151,500 bp)
  47,332 reads (135,636,625 bp)
  47,506 reads (136,120,707 bp)
  47,678 reads (136,607,208 bp)
  47,865 reads (137,094,431 bp)
  48,037 reads (137,578,401 bp)
  48,209 reads (138,063,696 bp)
  48,382 reads (138,551,142 bp)
  48,554 reads (139,035,469 bp)
  48,716 reads (139,521,237 bp)
  48,888 reads (140,013,156 bp)
  49,039 reads (140,498,587 bp)
  49,207 reads (140,983,543 bp)
  49,394 reads (141,470,034 bp)
  49,565 reads (141,957,398 bp)
  49,740 reads (142,441,520 bp)
  49,904 reads (142,928,803 bp)
  50,061 reads (143,413,222 bp)
  50,213 reads (143,897,768 bp)
  50,421 reads (144,385,531 bp)
  50,632 reads (144,869,458 bp)
  50,901 reads (145,354,290 bp)
  51,080 reads (145,838,314 bp)
  51,255 reads (146,325,725 bp)
  51,423 reads (146,809,848 bp)
  51,595 reads (147,298,172 bp)
  51,742 reads (147,782,331 bp)
  51,915 reads (148,267,495 bp)
  52,096 reads (148,752,730 bp)
  52,257 reads (149,241,491 bp)
  52,442 reads (149,726,816 bp)
  52,618 reads (150,212,443 bp)
  52,783 reads (150,696,452 bp)
  52,936 reads (151,182,465 bp)
  53,120 reads (151,668,507 bp)
  53,277 reads (152,153,658 bp)
  53,451 reads (152,637,775 bp)
  53,627 reads (153,122,247 bp)
  53,808 reads (153,605,935 bp)
  53,973 reads (154,096,929 bp)
  54,148 reads (154,581,183 bp)
  54,317 reads (155,065,615 bp)
  54,492 reads (155,550,516 bp)
  54,651 reads (156,034,167 bp)
  54,808 reads (156,518,268 bp)
  54,977 reads (157,012,499 bp)
  55,158 reads (157,498,750 bp)
  55,333 reads (157,984,386 bp)
  55,519 reads (158,469,617 bp)
  55,681 reads (158,958,239 bp)
  55,862 reads (159,443,002 bp)
  56,036 reads (159,927,466 bp)
  56,206 reads (160,411,981 bp)
  56,380 reads (160,902,492 bp)
  56,574 reads (161,392,843 bp)
  56,747 reads (161,878,509 bp)
  56,925 reads (162,365,350 bp)
  57,103 reads (162,849,557 bp)
  57,281 reads (163,333,225 bp)
  57,437 reads (163,817,659 bp)
  57,594 reads (164,303,787 bp)
  57,780 reads (164,792,673 bp)
  57,945 reads (165,277,724 bp)
  58,110 reads (165,763,990 bp)
  58,276 reads (166,249,844 bp)
  58,444 reads (166,735,019 bp)
  58,599 reads (167,224,392 bp)
  58,754 reads (167,711,584 bp)
  58,927 reads (168,195,944 bp)
  59,097 reads (168,679,558 bp)
  59,265 reads (169,165,901 bp)
  59,453 reads (169,650,935 bp)
  59,624 reads (170,134,901 bp)
  59,795 reads (170,621,454 bp)
  59,951 reads (171,105,552 bp)
  60,112 reads (171,592,197 bp)
  60,266 reads (172,077,397 bp)
  60,442 reads (172,563,468 bp)
  60,617 reads (173,047,389 bp)
  60,759 reads (173,531,829 bp)
  60,921 reads (174,015,965 bp)
  61,081 reads (174,504,665 bp)
  61,259 reads (174,991,806 bp)
  61,437 reads (175,476,000 bp)
  61,600 reads (175,964,971 bp)
  61,753 reads (176,450,471 bp)
  61,910 reads (176,937,681 bp)
  62,084 reads (177,422,549 bp)
  62,252 reads (177,913,762 bp)
  62,423 reads (178,398,715 bp)
  62,598 reads (178,883,274 bp)
  62,752 reads (179,370,664 bp)
  62,905 reads (179,855,598 bp)
  63,067 reads (180,339,217 bp)
  63,220 reads (180,823,610 bp)
  63,402 reads (181,311,892 bp)
  63,581 reads (181,796,580 bp)
  63,735 reads (182,280,449 bp)
  63,900 reads (182,764,602 bp)
  64,063 reads (183,248,627 bp)
  64,218 reads (183,739,990 bp)
  64,369 reads (184,224,971 bp)
  64,550 reads (184,708,997 bp)
  64,704 reads (185,193,996 bp)
  64,854 reads (185,682,841 bp)
