
Scoring long reads

  371 reads (483,942 bp)
  693 reads (967,855 bp)
  925 reads (1,451,626 bp)
  1,117 reads (1,936,664 bp)
  1,337 reads (2,423,771 bp)
  51,556 reads (140,082,636 bp)
  51,727 reads (140,575,584 bp)
  51,889 reads (141,059,468 bp)
  52,048 reads (141,547,469 bp)
  52,242 reads (142,031,103 bp)
  52,429 reads (142,515,464 bp)
  52,616 reads (143,002,280 bp)
  52,753 reads (143,486,688 bp)
  52,921 reads (143,973,074 bp)
  53,073 reads (144,464,360 bp)
  53,236 reads (144,947,984 bp)
  53,418 reads (145,432,049 bp)
  53,614 reads (145,923,452 bp)
  53,811 reads (146,415,305 bp)
  53,970 reads (146,906,373 bp)
  54,156 reads (147,391,588 bp)
  54,353 reads (147,875,990 bp)
  54,545 reads (148,369,820 bp)
  54,743 reads (148,855,278 bp)
  54,900 reads (149,346,673 bp)
  55,073 reads (149,831,256 bp)
  55,279 reads (150,315,716 bp)
  55,446 reads (150,799,806 bp)
  55,621 reads (151,295,740 bp)
  55,786 reads (151,783,871 bp)
  55,981 reads (152,270,124 bp)
  56,165 reads (152,754,226 bp)
  56,324 reads (153,240,170 bp)
  56,490 reads (153,725,759 bp)
  56,670 reads (154,212,596 bp)
  56,816 reads (154,701,143 bp)
  56,962 reads (155,185,450 bp)
  57,114 reads (155,669,208 bp)
  57,259 reads (156,154,241 bp)
  57,451 reads (156,638,144 bp)
  57,640 reads (157,124,743 bp)
  57,800 reads (157,616,388 bp)
  57,980 reads (158,100,498 bp)
  58,136 reads (158,593,504 bp)
  58,310 reads (159,082,887 bp)
  58,493 reads (159,569,019 bp)
  58,675 reads (160,059,166 bp)
  58,873 reads (160,544,980 bp)
  59,042 reads (161,034,396 bp)
  59,208 reads (161,522,980 bp)
  59,377 reads (162,010,997 bp)
  59,552 reads (162,499,073 bp)
  59,735 reads (162,984,578 bp)
  59,915 reads (163,483,154 bp)
  60,103 reads (163,966,985 bp)
  60,279 reads (164,459,435 bp)
  60,441 reads (164,944,645 bp)
  60,604 reads (165,434,936 bp)
  60,790 reads (165,919,639 bp)
  60,955 reads (166,404,667 bp)
  61,110 reads (166,893,558 bp)
  61,260 reads (167,378,752 bp)
  61,427 reads (167,862,637 bp)
  61,574 reads (168,347,226 bp)
  61,740 reads (168,833,353 bp)
  61,914 reads (169,318,021 bp)
  62,079 reads (169,805,090 bp)
  62,233 reads (170,289,308 bp)
  62,389 reads (170,777,735 bp)
  62,554 reads (171,263,419 bp)
  62,717 reads (171,747,082 bp)
  62,900 reads (172,233,818 bp)
  63,116 reads (172,717,706 bp)
  63,267 reads (173,204,189 bp)
  63,445 reads (173,689,099 bp)
  63,625 reads (174,173,752 bp)
  63,787 reads (174,658,085 bp)
  63,957 reads (175,141,792 bp)
  64,102 reads (175,625,798 bp)
  64,277 reads (176,110,577 bp)
  64,465 reads (176,597,617 bp)
  64,642 reads (177,082,136 bp)
  64,814 reads (177,566,514 bp)
  64,989 reads (178,054,013 bp)
  65,130 reads (178,542,017 bp)
  65,309 reads (179,026,592 bp)
  65,475 reads (179,511,389 bp)
  65,651 reads (179,996,892 bp)
  65,845 reads (180,487,851 bp)
  66,016 reads (180,982,079 bp)
  66,171 reads (181,465,942 bp)
  66,340 reads (181,950,220 bp)
  66,487 reads (182,438,927 bp)
  66,662 reads (182,924,052 bp)
  66,830 reads (183,409,083 bp)
  66,995 reads (183,892,892 bp)
  67,163 reads (184,377,948 bp)
  67,371 reads (184,863,887 bp)
  67,550 reads (185,347,562 bp)
  67,728 reads (185,838,985 bp)
  67,902 reads (186,328,895 bp)
  68,091 reads (186,814,872 bp)
  68,273 reads (187,302,670 bp)
  68,487 reads (187,786,639 bp)
  68,675 reads (188,272,698 bp)
  68,854 reads (188,757,661 bp)
  69,032 reads (189,247,615 bp)
  69,203 reads (189,731,967 bp)
  69,380 reads (190,216,739 bp)
  69,535 reads (190,703,150 bp)
  69,701 reads (191,203,710 bp)
  69,867 reads (191,690,559 bp)
  70,043 reads (192,180,651 bp)
  70,198 reads (192,665,134 bp)
  70,385 reads (193,149,995 bp)
  70,543 reads (193,634,953 bp)
  70,707 reads (194,132,954 bp)
  70,900 reads (194,616,709 bp)
  71,067 reads (195,100,808 bp)
  71,222 reads (195,585,227 bp)
  71,417 reads (196,070,352 bp)
  71,590 reads (196,559,388 bp)
  71,787 reads (197,045,113 bp)
  71,935 reads (197,537,477 bp)
  72,099 reads (198,032,130 bp)
  72,246 reads (198,518,367 bp)
  72,408 reads (199,002,258 bp)
  72,581 reads (199,488,880 bp)
  72,755 reads (199,975,439 bp)
  72,927 reads (200,459,407 bp)
