
Scoring long reads

  213 reads (485,345 bp)
  417 reads (972,241 bp)
  583 reads (1,462,064 bp)
  732 reads (1,946,198 bp)
  868 reads (2,431,285 bp)
  1,001 reads (2,926,051 bp)
  1,139 reads (3,410,595 bp)
  32,824 reads (120,444,302 bp)
  32,957 reads (120,928,159 bp)
  33,094 reads (121,422,540 bp)
  33,226 reads (121,907,123 bp)
  33,381 reads (122,391,212 bp)
  33,526 reads (122,885,545 bp)
  33,647 reads (123,370,301 bp)
  33,786 reads (123,855,228 bp)
  33,922 reads (124,339,574 bp)
  34,058 reads (124,833,738 bp)
  34,189 reads (125,320,613 bp)
  34,313 reads (125,805,573 bp)
  34,427 reads (126,296,122 bp)
  34,561 reads (126,780,327 bp)
  34,692 reads (127,265,831 bp)
  34,823 reads (127,750,513 bp)
  34,959 reads (128,236,776 bp)
  35,090 reads (128,722,419 bp)
  35,220 reads (129,206,992 bp)
  35,343 reads (129,693,000 bp)
  35,468 reads (130,183,744 bp)
  35,619 reads (130,668,442 bp)
  35,754 reads (131,156,542 bp)
  35,890 reads (131,644,718 bp)
  36,022 reads (132,134,467 bp)
  36,147 reads (132,619,071 bp)
  36,272 reads (133,103,385 bp)
  36,391 reads (133,590,018 bp)
  36,534 reads (134,077,815 bp)
  36,679 reads (134,565,287 bp)
  36,819 reads (135,050,899 bp)
  36,935 reads (135,538,078 bp)
  37,064 reads (136,028,579 bp)
  37,181 reads (136,521,864 bp)
  37,306 reads (137,006,138 bp)
  37,445 reads (137,492,209 bp)
  37,594 reads (137,981,101 bp)
  37,728 reads (138,479,532 bp)
  37,861 reads (138,966,459 bp)
  38,001 reads (139,454,322 bp)
  38,146 reads (139,940,115 bp)
  38,295 reads (140,427,409 bp)
  38,432 reads (140,914,688 bp)
  38,553 reads (141,402,325 bp)
  38,703 reads (141,887,929 bp)
  38,839 reads (142,371,957 bp)
  38,961 reads (142,858,044 bp)
  39,092 reads (143,344,632 bp)
  39,228 reads (143,831,378 bp)
  39,372 reads (144,319,839 bp)
  39,508 reads (144,810,645 bp)
  39,638 reads (145,295,246 bp)
  39,769 reads (145,785,943 bp)
  39,873 reads (146,288,382 bp)
  39,979 reads (146,773,569 bp)
  40,104 reads (147,258,788 bp)
  40,209 reads (147,748,191 bp)
  40,359 reads (148,234,973 bp)
  40,498 reads (148,719,637 bp)
  40,628 reads (149,204,148 bp)
  40,753 reads (149,687,802 bp)
  40,872 reads (150,172,210 bp)
  41,009 reads (150,657,146 bp)
  41,130 reads (151,141,368 bp)
  41,274 reads (151,625,590 bp)
  41,410 reads (152,109,963 bp)
  41,543 reads (152,595,571 bp)
  41,671 reads (153,080,892 bp)
  41,804 reads (153,564,853 bp)
  41,937 reads (154,049,469 bp)
  42,069 reads (154,535,518 bp)
  42,209 reads (155,021,350 bp)
  42,340 reads (155,508,309 bp)
  42,465 reads (155,993,358 bp)
  42,593 reads (156,477,521 bp)
  42,736 reads (156,962,434 bp)
  42,862 reads (157,446,245 bp)
  42,984 reads (157,930,044 bp)
  43,099 reads (158,414,346 bp)
  43,218 reads (158,898,566 bp)
  43,332 reads (159,388,866 bp)
  43,475 reads (159,876,075 bp)
  43,607 reads (160,363,086 bp)
  43,724 reads (160,851,810 bp)
  43,836 reads (161,335,497 bp)
  43,964 reads (161,821,929 bp)
  44,092 reads (162,306,214 bp)
  44,224 reads (162,791,890 bp)
  44,368 reads (163,279,569 bp)
  44,494 reads (163,772,127 bp)
  44,626 reads (164,258,361 bp)
  44,752 reads (164,746,714 bp)
  44,875 reads (165,233,062 bp)
  45,000 reads (165,723,450 bp)
  45,121 reads (166,207,428 bp)
  45,251 reads (166,694,177 bp)
  45,395 reads (167,181,810 bp)
  45,527 reads (167,667,082 bp)
  45,654 reads (168,155,556 bp)
  45,761 reads (168,652,134 bp)
  45,907 reads (169,137,970 bp)
  46,035 reads (169,623,359 bp)
  46,165 reads (170,111,447 bp)
  46,304 reads (170,595,183 bp)
  46,435 reads (171,080,533 bp)
  46,550 reads (171,565,389 bp)
  46,689 reads (172,051,862 bp)
  46,795 reads (172,538,867 bp)
  46,934 reads (173,028,027 bp)
  47,063 reads (173,512,216 bp)
  47,189 reads (173,995,935 bp)
  47,324 reads (174,483,115 bp)
  47,458 reads (174,968,001 bp)
  47,597 reads (175,452,491 bp)
  47,723 reads (175,937,017 bp)
  47,866 reads (176,421,051 bp)
  48,010 reads (176,907,011 bp)
  48,151 reads (177,391,499 bp)
  48,296 reads (177,881,808 bp)
  48,446 reads (178,372,424 bp)
  48,590 reads (178,857,269 bp)
  48,723 reads (179,341,818 bp)
  48,851 reads (179,827,654 bp)
  48,974 reads (180,312,558 bp)
  49,098 reads (180,806,008 bp)
  49,232 reads (181,292,354 bp)
  49,353 reads (181,776,733 bp)
  49,473 reads (182,263,438 bp)
  49,614 reads (182,751,083 bp)
  49,737 reads (183,235,900 bp)
